Latitude,Longitude,PM10,SO2,NO2,BENZENE,CO,O3,NH3,Month,Temp,Precipitation,Windspeed,Humidity,PM,Year
28.6707,77.2148,336,29,129,1.4,2.3,34,65,11,20,3,3.6,0.41,180,2017
28.6707,77.2148,383,14,179,2.3,3.3,95,71,11,20,3,3.6,0.41,236,2017
28.6707,77.2148,423,7,247,3.3,3.7,58,68,11,20,3,3.6,0.41,260,2017
28.6707,77.2148,497,6,212,3,3.3,37,70,11,20,3,3.6,0.41,298,2017
28.6707,77.2148,909,12,212,3.4,4.3,43,71,11,20,3,3.6,0.41,634,2017
28.6707,77.2148,705,17,338,4.1,3.8,43,66,11,20,3,3.6,0.41,482,2017
28.6707,77.2148,717,18,299,6.1,4.3,45,69,11,20,3,3.6,0.41,471,2017
28.6707,77.2148,860,9,258,5.1,5.6,42,72,11,20,3,3.6,0.41,603,2017
28.6707,77.2148,713,9,279,3.1,5.1,37,70,11,20,3,3.6,0.41,473,2017
28.6707,77.2148,447,18,136,1.5,2.5,50,60,11,20,3,3.6,0.41,297,2017
28.6707,77.2148,380,26,180,1.7,2.9,46,49,11,20,3,3.6,0.41,229,2017
28.6707,77.2148,370,30,131,1.4,2,44,51,11,20,3,3.6,0.41,221,2017
28.6707,77.2148,280,21,94,1.3,1.6,42,48,11,20,3,3.6,0.41,175,2017
28.6707,77.2148,250,16,92,1.6,1.5,41,69,11,20,3,3.6,0.41,160,2017
28.6707,77.2148,229,16,80,0.9,1.4,27,48,11,20,3,3.6,0.41,153,2017
28.6707,77.2148,287,13,111,1.1,1.5,25,47,11,20,3,3.6,0.41,199,2017
28.6707,77.2148,350,15,121,7.3,2.1,24,53,11,20,3,3.6,0.41,229,2017
28.6707,77.2148,343,15,115,10.3,1.7,22,53,11,20,3,3.6,0.41,216,2017
28.6707,77.2148,326,12,85,5.8,1.9,27,54,11,20,3,3.6,0.41,197,2017
28.6707,77.2148,398,27,485,6.9,2.1,40,44,11,20,3,3.6,0.41,236,2017
28.6707,77.2148,384,20,386,6.8,2.6,36,49,11,20,3,3.6,0.41,223,2017
28.6707,77.2148,451,28,435,2.7,2.9,48,50,11,20,3,3.6,0.41,223,2017
28.6707,77.2148,385,27,269,2,1.9,46,59,11,20,3,3.6,0.41,266,2017
28.6707,77.2148,265,31,588,7.3,2.6,55,39,11,20,3,3.6,0.41,238,2017
28.6707,77.2148,376,24,501,3.9,3.4,52,42,11,20,3,3.6,0.41,239,2017
28.6707,77.2148,424,23,144,3.3,2.5,25,90,12,15,10,7.2,0.56,250,2017
28.6707,77.2148,237,30,88,1,1.3,12,55,12,15,10,7.2,0.56,158,2017
28.6707,77.2148,200,29,84,5.2,1.3,33,60,12,15,10,7.2,0.56,100,2017
28.6707,77.2148,271,33,87,4.2,1.8,54,55,12,15,10,7.2,0.56,143,2017
28.6707,77.2148,424,34,137,8.4,2.2,41,75,12,15,10,7.2,0.56,237,2017
28.6707,77.2148,505,7,205,5.2,2.2,39,106,12,15,10,7.2,0.56,294,2017
28.6707,77.2148,535,16,180,5.6,3,53,106,12,15,10,7.2,0.56,318,2017
28.6707,77.2148,192,12,88,1.5,1.4,57,52,12,15,10,7.2,0.56,145,2017
28.6707,77.2148,246,8,73,1.5,1.2,35,61,12,15,10,7.2,0.56,181,2017
28.6707,77.2148,226,8,65,1,1.2,37,52,12,15,10,7.2,0.56,153,2017
28.6707,77.2148,214,21,101,1.4,1.2,41,49,12,15,10,7.2,0.56,126,2017
28.6707,77.2148,238,10,106,4.3,1.3,41,55,12,15,10,7.2,0.56,151,2017
28.6707,77.2148,356,10,120,5.3,2.3,47,68,12,15,10,7.2,0.56,221,2017
28.6707,77.2148,574,8,136,3.9,3,45,98,12,15,10,7.2,0.56,375,2017
28.6707,77.2148,517,7,134,3.4,2.2,37,100,12,15,10,7.2,0.56,356,2017
28.6707,77.2148,314,10,110,5.3,1.4,41,70,12,15,10,7.2,0.56,199,2017
28.6707,77.2148,251,7,102,5.1,2.2,53,59,12,15,10,7.2,0.56,149,2017
28.6707,77.2148,413,8,126,2.9,4.2,55,67,12,15,10,7.2,0.56,258,2017
28.6707,77.2148,575,7,122,2.8,3.1,50,86,12,15,10,7.2,0.56,397,2017
28.6707,77.2148,485,9,122,6.5,2.5,45,70,12,15,10,7.2,0.56,289,2017
28.6707,77.2148,510,11,131,5.9,3,48,70,12,15,10,7.2,0.56,305,2017
28.6707,77.2148,430,60,129,2.7,3.3,63,72,12,15,10,7.2,0.56,277,2017
28.6707,77.2148,552,13,118,5,3.9,61,82,12,15,10,7.2,0.56,368,2017
