Latitude,Longitude,PM10,SO2,NO2,BENZENE,CO,O3,NH3,Month,Temp,Precipitation,Windspeed,Humidity,PM,Year
28.566,77.1767,436,37,124,9.8,2.34,26,42,12,15,10,7.2,0.56,249,2017
28.566,77.1767,458,33,128,11.5,3.35,21,43,12,15,10,7.2,0.56,273,2017
28.566,77.1767,527,32,155,13.6,3.88,22,52,12,15,10,7.2,0.56,314,2017
28.566,77.1767,566,19,135,11.6,4.29,18,56,12,15,10,7.2,0.56,323,2017
28.566,77.1767,503,36,149,10.4,3.78,20,59,12,15,10,7.2,0.56,279,2017
28.566,77.1767,289,49,103,7.7,2.05,24,39,12,15,10,7.2,0.56,158,2017
28.566,77.1767,248,45,98,5.8,1.7,27,31,12,15,10,7.2,0.56,129,2017
28.566,77.1767,296,53,109,6,2.31,36,33,12,15,10,7.2,0.56,169,2017
28.566,77.1767,367,49,123,9.2,2.41,33,38,12,15,10,7.2,0.56,226,2017
28.566,77.1767,445,21,146,12.3,3.69,25,47,12,15,10,7.2,0.56,264,2017
28.566,77.1767,353,27,125,10.1,4.41,20,48,12,15,10,7.2,0.56,215,2017
28.566,77.1767,172,14,72,5.2,2.68,18,52,12,15,10,7.2,0.56,120,2017
28.566,77.1767,226,17,62,5.4,2.2,28,47,12,15,10,7.2,0.56,152,2017
28.566,77.1767,228,14,61,5.7,2,26,44,12,15,10,7.2,0.56,143,2017
28.566,77.1767,220,36,77,4.6,1.41,10,35,12,15,10,7.2,0.56,138,2017
28.566,77.1767,345,57,91,7.9,2.02,10,40,12,15,10,7.2,0.56,204,2017
28.566,77.1767,511,57,98,10.4,2.43,13,55,12,15,10,7.2,0.56,293,2017
28.566,77.1767,529,19,91,10.9,2.22,12,59,12,15,10,7.2,0.56,300,2017
28.566,77.1767,266,21,67,5.8,2.98,12,33,12,15,10,7.2,0.56,161,2017
28.566,77.1767,420,18,78,9.6,2.17,12,38,12,15,10,7.2,0.56,254,2017
28.566,77.1767,440,12,74,10,3.09,11,43,12,15,10,7.2,0.56,280,2017
28.566,77.1767,382,21,76,7.3,2.56,11,41,12,15,10,7.2,0.56,226,2017
28.566,77.1767,402,20,79,9.6,2.35,9,35,12,15,10,7.2,0.56,227,2017
28.566,77.1767,482,49,91,12.9,3.17,15,40,12,15,10,7.2,0.56,291,2017
28.566,77.1767,446,27,95,12.1,2.13,15,47,12,15,10,7.2,0.56,249,2017
28.566,77.1767,481,13,86,9.9,2.86,15,49,12,15,10,7.2,0.56,286,2017
28.566,77.1767,509,17,74,8.8,2.97,11,48,12,15,10,7.2,0.56,323,2017
28.566,77.1767,369,17,105,10.1,2.8,27,44,11,20,3,3.6,0.41,213,2017
28.566,77.1767,328,31,115,9.6,3.1,27,45,11,20,3,3.6,0.41,176,2017
28.566,77.1767,357,29,108,12.5,4.3,35,44,11,20,3,3.6,0.41,192,2017
28.566,77.1767,401,25,81,12.3,3.8,39,45,11,20,3,3.6,0.41,243,2017
28.566,77.1767,410,34,121,13.7,4.9,49,41,11,20,3,3.6,0.41,226,2017
28.566,77.1767,394,29,105,10.7,2.4,28,40,11,20,3,3.6,0.41,207,2017
28.566,77.1767,765,24,121,14.4,3.7,31,51,11,20,3,3.6,0.41,481,2017
28.566,77.1767,935,37,165,16.6,4.7,29,58,11,20,3,3.6,0.41,687,2017
28.566,77.1767,817,27,148,15.8,4,41,48,11,20,3,3.6,0.41,547,2017
28.566,77.1767,622,25,171,15.1,3.6,3,49,11,20,3,3.6,0.41,358,2017
28.566,77.1767,635,26,197,14.9,3.7,2,54,11,20,3,3.6,0.41,380,2017
28.566,77.1767,774,11,214,17.1,4.8,3,66,11,20,3,3.6,0.41,463,2017
28.566,77.1767,614,31,141,14.5,4.4,3,59,11,20,3,3.6,0.41,363,2017
28.566,77.1767,473,18,113,11.2,3.9,2,62,11,20,3,3.6,0.41,287,2017
28.566,77.1767,387,19,100,10.1,3.4,2,49,11,20,3,3.6,0.41,221,2017
28.566,77.1767,368,38,106,10.9,2.9,2,49,11,20,3,3.6,0.41,213,2017
28.566,77.1767,274,37,89,9.3,2,2,43,11,20,3,3.6,0.41,156,2017
28.566,77.1767,252,33,101,6.7,1.6,3,45,11,20,3,3.6,0.41,153,2017
28.566,77.1767,250,32,81,5.9,1.7,4,33,11,20,3,3.6,0.41,143,2017
28.566,77.1767,343,34,98,6.7,2.2,3,34,11,20,3,3.6,0.41,198,2017
28.566,77.1767,343,25,88,6.1,2,3,30,11,20,3,3.6,0.41,204,2017
28.566,77.1767,347,38,94,6.3,2,3,29,11,20,3,3.6,0.41,190,2017
28.566,77.1767,381,44,101,6.3,2.2,3,30,11,20,3,3.6,0.41,216,2017
28.566,77.1767,360,46,109,6.4,2.2,3,30,11,20,3,3.6,0.41,207,2017
28.566,77.1767,417,50,111,7.8,3,3,35,11,20,3,3.6,0.41,238,2017
28.566,77.1767,450,44,118,9.8,4.3,5,37,11,20,3,3.6,0.41,256,2017
28.566,77.1767,455,44,110,8.7,3,3,40,11,20,3,3.6,0.41,265,2017
28.566,77.1767,454,48,109,8.7,2.4,3,35,11,20,3,3.6,0.41,239,2017
28.566,77.1767,472,33,141,12,3.5,1,42,11,20,3,3.6,0.41,262,2017
